,date,change,name
258,2013-01-16,0,삼성전자
259,2013-01-17,0,삼성전자
260,2013-01-18,1,삼성전자
261,2013-01-21,0,삼성전자
262,2013-01-22,1,삼성전자
263,2013-01-23,0,삼성전자
264,2013-01-24,0,삼성전자
265,2013-01-25,0,삼성전자
266,2013-01-28,0,삼성전자
267,2013-01-29,1,삼성전자
268,2013-01-30,1,삼성전자
269,2013-01-31,1,삼성전자
270,2013-02-01,0,삼성전자
271,2013-02-04,0,삼성전자
272,2013-02-05,0,삼성전자
273,2013-02-06,0,삼성전자
274,2013-02-07,0,삼성전자
275,2013-02-08,1,삼성전자
276,2013-02-12,1,삼성전자
277,2013-02-13,1,삼성전자
278,2013-02-14,1,삼성전자
279,2013-02-15,1,삼성전자
280,2013-02-18,0,삼성전자
281,2013-02-19,1,삼성전자
282,2013-02-20,1,삼성전자
283,2013-02-21,1,삼성전자
284,2013-02-22,0,삼성전자
285,2013-02-25,0,삼성전자
286,2013-02-26,0,삼성전자
287,2013-02-27,0,삼성전자
288,2013-02-28,1,삼성전자
289,2013-03-04,0,삼성전자
290,2013-03-05,1,삼성전자
291,2013-03-06,1,삼성전자
292,2013-03-07,0,삼성전자
293,2013-03-08,0,삼성전자
294,2013-03-11,1,삼성전자
295,2013-03-12,0,삼성전자
296,2013-03-13,1,삼성전자
297,2013-03-14,0,삼성전자
298,2013-03-15,0,삼성전자
299,2013-03-18,0,삼성전자
300,2013-03-19,1,삼성전자
301,2013-03-20,0,삼성전자
302,2013-03-21,0,삼성전자
303,2013-03-22,0,삼성전자
304,2013-03-25,1,삼성전자
305,2013-03-26,1,삼성전자
306,2013-03-27,0,삼성전자
307,2013-03-28,1,삼성전자
308,2013-03-29,1,삼성전자
309,2013-04-01,0,삼성전자
310,2013-04-02,1,삼성전자
311,2013-04-03,0,삼성전자
312,2013-04-04,0,삼성전자
313,2013-04-05,0,삼성전자
314,2013-04-08,1,삼성전자
315,2013-04-09,1,삼성전자
316,2013-04-10,0,삼성전자
317,2013-04-11,1,삼성전자
318,2013-04-12,0,삼성전자
319,2013-04-15,1,삼성전자
320,2013-04-16,1,삼성전자
321,2013-04-17,0,삼성전자
322,2013-04-18,0,삼성전자
323,2013-04-19,0,삼성전자
324,2013-04-22,1,삼성전자
325,2013-04-23,0,삼성전자
326,2013-04-24,1,삼성전자
327,2013-04-25,1,삼성전자
328,2013-04-26,0,삼성전자
329,2013-04-29,0,삼성전자
330,2013-04-30,1,삼성전자
331,2013-05-02,1,삼성전자
332,2013-05-03,1,삼성전자
333,2013-05-06,0,삼성전자
334,2013-05-07,0,삼성전자
335,2013-05-08,0,삼성전자
336,2013-05-09,1,삼성전자
337,2013-05-10,0,삼성전자
338,2013-05-13,1,삼성전자
339,2013-05-14,1,삼성전자
340,2013-05-15,0,삼성전자
341,2013-05-16,1,삼성전자
342,2013-05-20,0,삼성전자
343,2013-05-21,0,삼성전자
344,2013-05-22,1,삼성전자
345,2013-05-23,0,삼성전자
346,2013-05-24,1,삼성전자
347,2013-05-27,1,삼성전자
348,2013-05-28,0,삼성전자
349,2013-05-29,1,삼성전자
350,2013-05-30,1,삼성전자
351,2013-05-31,0,삼성전자
352,2013-06-03,0,삼성전자
353,2013-06-04,1,삼성전자
354,2013-06-05,0,삼성전자
355,2013-06-07,0,삼성전자
356,2013-06-10,0,삼성전자
357,2013-06-11,0,삼성전자
358,2013-06-12,0,삼성전자
359,2013-06-13,0,삼성전자
360,2013-06-14,1,삼성전자
361,2013-06-17,0,삼성전자
362,2013-06-18,1,삼성전자
363,2013-06-19,0,삼성전자
364,2013-06-20,0,삼성전자
365,2013-06-21,0,삼성전자
366,2013-06-24,0,삼성전자
367,2013-06-25,0,삼성전자
368,2013-06-26,0,삼성전자
369,2013-06-27,1,삼성전자
370,2013-06-28,1,삼성전자
371,2013-07-01,0,삼성전자
372,2013-07-02,1,삼성전자
373,2013-07-03,0,삼성전자
374,2013-07-04,1,삼성전자
375,2013-07-05,0,삼성전자
376,2013-07-08,0,삼성전자
377,2013-07-09,1,삼성전자
378,2013-07-10,1,삼성전자
379,2013-07-11,1,삼성전자
380,2013-07-12,0,삼성전자
381,2013-07-15,1,삼성전자
382,2013-07-16,0,삼성전자
383,2013-07-17,1,삼성전자
384,2013-07-18,0,삼성전자
385,2013-07-19,0,삼성전자
386,2013-07-22,0,삼성전자
387,2013-07-23,1,삼성전자
388,2013-07-24,1,삼성전자
389,2013-07-25,0,삼성전자
390,2013-07-26,0,삼성전자
391,2013-07-29,0,삼성전자
392,2013-07-30,1,삼성전자
393,2013-07-31,0,삼성전자
394,2013-08-01,0,삼성전자
395,2013-08-02,1,삼성전자
396,2013-08-05,0,삼성전자
397,2013-08-06,0,삼성전자
398,2013-08-07,0,삼성전자
399,2013-08-08,0,삼성전자
400,2013-08-09,1,삼성전자
401,2013-08-12,1,삼성전자
402,2013-08-13,1,삼성전자
403,2013-08-14,1,삼성전자
404,2013-08-16,0,삼성전자
405,2013-08-19,0,삼성전자
406,2013-08-20,0,삼성전자
407,2013-08-21,0,삼성전자
408,2013-08-22,0,삼성전자
409,2013-08-23,1,삼성전자
410,2013-08-26,1,삼성전자
411,2013-08-27,1,삼성전자
412,2013-08-28,1,삼성전자
413,2013-08-29,1,삼성전자
414,2013-08-30,1,삼성전자
415,2013-09-02,0,삼성전자
416,2013-09-03,0,삼성전자
417,2013-09-04,1,삼성전자
418,2013-09-05,1,삼성전자
419,2013-09-06,1,삼성전자
420,2013-09-09,1,삼성전자
421,2013-09-10,1,삼성전자
422,2013-09-11,1,삼성전자
423,2013-09-12,1,삼성전자
424,2013-09-13,0,삼성전자
425,2013-09-16,1,삼성전자
426,2013-09-17,0,삼성전자
